epsilon,rep,race,n,Accuracy
0.1,15,AfricanAmerican,3821,0.5304894006804501
0.1,15,Asian,115,0.5739130434782609
0.1,15,Caucasian,14970,0.5413493653974616
0.1,15,Hispanic,410,0.4902439024390244
0.1,15,Other,295,0.4983050847457627
0.1,16,AfricanAmerican,3821,0.5302276890866265
0.1,16,Asian,115,0.4260869565217391
0.1,16,Caucasian,14970,0.5219104876419506
0.1,16,Hispanic,410,0.5146341463414634
0.1,16,Other,295,0.6033898305084746
0.1,17,AfricanAmerican,3821,0.499345721015441
0.1,17,Asian,115,0.6173913043478261
0.1,17,Caucasian,14970,0.5104876419505678
0.1,17,Hispanic,410,0.524390243902439
0.1,17,Other,295,0.6033898305084746
0.1,18,AfricanAmerican,3821,0.4975137398586757
0.1,18,Asian,115,0.6173913043478261
0.1,18,Caucasian,14970,0.5264529058116233
0.1,18,Hispanic,410,0.4439024390243902
0.1,18,Other,295,0.6
0.1,19,AfricanAmerican,3821,0.5346767861816278
0.1,19,Asian,115,0.5043478260869565
0.1,19,Caucasian,14970,0.5395457581830327
0.1,19,Hispanic,410,0.4829268292682926
0.1,19,Other,295,0.5627118644067797
0.5,0,AfricanAmerican,3821,0.5841402774142894
0.5,0,Asian,115,0.5391304347826087
0.5,0,Caucasian,14970,0.5636606546426186
0.5,0,Hispanic,410,0.6658536585365854
0.5,0,Other,295,0.5830508474576271
0.5,1,AfricanAmerican,3821,0.5755037948181104
0.5,1,Asian,115,0.6347826086956522
0.5,1,Caucasian,14970,0.5686038744154976
0.5,1,Hispanic,410,0.5658536585365853
0.5,1,Other,295,0.5491525423728814
0.5,2,AfricanAmerican,3821,0.5673907354095786
0.5,2,Asian,115,0.5652173913043478
0.5,2,Caucasian,14970,0.559185036740147
0.5,2,Hispanic,410,0.6
0.5,2,Other,295,0.4440677966101695
0.5,3,AfricanAmerican,3821,0.5885893745092907
0.5,3,Asian,115,0.6260869565217392
0.5,3,Caucasian,14970,0.576686706746827
0.5,3,Hispanic,410,0.5878048780487805
0.5,3,Other,295,0.5389830508474577
0.5,4,AfricanAmerican,3821,0.5802146035069353
0.5,4,Asian,115,0.5391304347826087
0.5,4,Caucasian,14970,0.5713426853707415
0.5,4,Hispanic,410,0.6195121951219512
0.5,4,Other,295,0.6203389830508474
0.5,5,AfricanAmerican,3821,0.5922533368228212
0.5,5,Asian,115,0.4260869565217391
0.5,5,Caucasian,14970,0.5736806947227789
0.5,5,Hispanic,410,0.4829268292682926
0.5,5,Other,295,0.5728813559322034
0.5,6,AfricanAmerican,3821,0.5804763151007589
0.5,6,Asian,115,0.5826086956521739
0.5,6,Caucasian,14970,0.5604542418169672
0.5,6,Hispanic,410,0.6365853658536585
0.5,6,Other,295,0.6237288135593221
0.5,7,AfricanAmerican,3821,0.5781209107563465
0.5,7,Asian,115,0.6
0.5,7,Caucasian,14970,0.5620574482297929
0.5,7,Hispanic,410,0.6292682926829268
0.5,7,Other,295,0.5694915254237288
0.5,8,AfricanAmerican,3821,0.5762889295995812
0.5,8,Asian,115,0.4260869565217391
0.5,8,Caucasian,14970,0.5783567134268537
0.5,8,Hispanic,410,0.5341463414634147
0.5,8,Other,295,0.6271186440677966
0.5,9,AfricanAmerican,3821,0.5522114629678094
0.5,9,Asian,115,0.591304347826087
0.5,9,Caucasian,14970,0.5610554442217769
0.5,9,Hispanic,410,0.6268292682926829
0.5,9,Other,295,0.5322033898305085
0.5,10,AfricanAmerican,3821,0.5799528919131117
0.5,10,Asian,115,0.391304347826087
0.5,10,Caucasian,14970,0.5754843019372078
0.5,10,Hispanic,410,0.6097560975609756
0.5,10,Other,295,0.5830508474576271
0.5,11,AfricanAmerican,3821,0.5561371368751635
0.5,11,Asian,115,0.5826086956521739
0.5,11,Caucasian,14970,0.5428189712758851
0.5,11,Hispanic,410,0.5975609756097561
0.5,11,Other,295,0.6338983050847458
0.5,12,AfricanAmerican,3821,0.5645119078775189
0.5,12,Asian,115,0.5391304347826087
0.5,12,Caucasian,14970,0.5617902471609887
0.5,12,Hispanic,410,0.5878048780487805
0.5,12,Other,295,0.6169491525423729
0.5,13,AfricanAmerican,3821,0.5522114629678094
0.5,13,Asian,115,0.4434782608695652
0.5,13,Caucasian,14970,0.5661990647962591
0.5,13,Hispanic,410,0.6268292682926829
0.5,13,Other,295,0.5898305084745763
0.5,14,AfricanAmerican,3821,0.5540434441245747
0.5,14,Asian,115,0.6173913043478261
0.5,14,Caucasian,14970,0.550567802271209
0.5,14,Hispanic,410,0.5560975609756098
0.5,14,Other,295,0.6
0.5,15,AfricanAmerican,3821,0.5778591991625229
0.5,15,Asian,115,0.5565217391304348
0.5,15,Caucasian,14970,0.5748162992651971
0.5,15,Hispanic,410,0.5585365853658537
0.5,15,Other,295,0.6067796610169491
0.5,16,AfricanAmerican,3821,0.5721015440984035
0.5,16,Asian,115,0.4782608695652174
0.5,16,Caucasian,14970,0.559185036740147
0.5,16,Hispanic,410,0.5585365853658537
0.5,16,Other,295,0.6576271186440678
0.5,17,AfricanAmerican,3821,0.5409578644333944
0.5,17,Asian,115,0.6260869565217392
0.5,17,Caucasian,14970,0.5693386773547094
0.5,17,Hispanic,410,0.5853658536585366
0.5,17,Other,295,0.6101694915254238
0.5,18,AfricanAmerican,3821,0.5574456948442816
0.5,18,Asian,115,0.6
0.5,18,Caucasian,14970,0.5663326653306613
0.5,18,Hispanic,410,0.5634146341463414
0.5,18,Other,295,0.6067796610169491
0.5,19,AfricanAmerican,3821,0.5768123527872284
0.5,19,Asian,115,0.6086956521739131
0.5,19,Caucasian,14970,0.567000668002672
0.5,19,Hispanic,410,0.5365853658536586
0.5,19,Other,295,0.5796610169491525
1.0,0,AfricanAmerican,3821,0.6121434179534153
1.0,0,Asian,115,0.6173913043478261
1.0,0,Caucasian,14970,0.5875083500334002
1.0,0,Hispanic,410,0.6707317073170732
1.0,0,Other,295,0.6169491525423729
1.0,1,AfricanAmerican,3821,0.6032452237634127
1.0,1,Asian,115,0.6608695652173913
1.0,1,Caucasian,14970,0.5946559786239145
1.0,1,Hispanic,410,0.6292682926829268
1.0,1,Other,295,0.6067796610169491
1.0,2,AfricanAmerican,3821,0.5998429730437058
1.0,2,Asian,115,0.6260869565217392
1.0,2,Caucasian,14970,0.5865063460253841
1.0,2,Hispanic,410,0.6219512195121951
1.0,2,Other,295,0.5186440677966102
1.0,3,AfricanAmerican,3821,0.6118817063595917
1.0,3,Asian,115,0.6347826086956522
1.0,3,Caucasian,14970,0.5993319973279894
1.0,3,Hispanic,410,0.6268292682926829
1.0,3,Other,295,0.6101694915254238
1.0,4,AfricanAmerican,3821,0.6097880136090029
1.0,4,Asian,115,0.6
1.0,4,Caucasian,14970,0.5982631930527722
1.0,4,Hispanic,410,0.6292682926829268
1.0,4,Other,295,0.6576271186440678
1.0,5,AfricanAmerican,3821,0.6042920701387071
1.0,5,Asian,115,0.5391304347826087
1.0,5,Caucasian,14970,0.592251169004676
1.0,5,Hispanic,410,0.5756097560975609
1.0,5,Other,295,0.6135593220338983
1.0,6,AfricanAmerican,3821,0.6071708976707668
1.0,6,Asian,115,0.6
1.0,6,Caucasian,14970,0.5951903807615231
1.0,6,Hispanic,410,0.6634146341463415
1.0,6,Other,295,0.6406779661016949
1.0,7,AfricanAmerican,3821,0.6050772049201779
1.0,7,Asian,115,0.591304347826087
1.0,7,Caucasian,14970,0.5924515698062792
1.0,7,Hispanic,410,0.651219512195122
1.0,7,Other,295,0.6440677966101694
1.0,8,AfricanAmerican,3821,0.607694320858414
1.0,8,Asian,115,0.5304347826086957
1.0,8,Caucasian,14970,0.5991315965263861
1.0,8,Hispanic,410,0.6048780487804878
1.0,8,Other,295,0.6508474576271186
1.0,9,AfricanAmerican,3821,0.5993195498560586
1.0,9,Asian,115,0.591304347826087
1.0,9,Caucasian,14970,0.5929191716766867
1.0,9,Hispanic,410,0.6560975609756098
1.0,9,Other,295,0.5932203389830508
1.0,10,AfricanAmerican,3821,0.6058623397016488
1.0,10,Asian,115,0.5217391304347826
1.0,10,Caucasian,14970,0.5958583834335337
1.0,10,Hispanic,410,0.6390243902439025
1.0,10,Other,295,0.6135593220338983
1.0,11,AfricanAmerican,3821,0.5948704527610573
1.0,11,Asian,115,0.591304347826087
1.0,11,Caucasian,14970,0.5804275217100868
1.0,11,Hispanic,410,0.6292682926829268
1.0,11,Other,295,0.6406779661016949
1.0,12,AfricanAmerican,3821,0.5922533368228212
1.0,12,Asian,115,0.6173913043478261
1.0,12,Caucasian,14970,0.5846359385437542
1.0,12,Hispanic,410,0.6170731707317073
1.0,12,Other,295,0.6406779661016949
1.0,13,AfricanAmerican,3821,0.589112797696938
1.0,13,Asian,115,0.5652173913043478
1.0,13,Caucasian,14970,0.5933867735470942
1.0,13,Hispanic,410,0.6439024390243903
1.0,13,Other,295,0.6508474576271186
1.0,14,AfricanAmerican,3821,0.5953938759487045
1.0,14,Asian,115,0.6347826086956522
1.0,14,Caucasian,14970,0.5845691382765531
1.0,14,Hispanic,410,0.6146341463414634
1.0,14,Other,295,0.6237288135593221
1.0,15,AfricanAmerican,3821,0.5972258571054698
1.0,15,Asian,115,0.6
1.0,15,Caucasian,14970,0.5959919839679358
1.0,15,Hispanic,410,0.6439024390243903
1.0,15,Other,295,0.6406779661016949
1.0,16,AfricanAmerican,3821,0.5995812614498822
1.0,16,Asian,115,0.5826086956521739
1.0,16,Caucasian,14970,0.5857047428189712
1.0,16,Hispanic,410,0.6048780487804878
1.0,16,Other,295,0.6847457627118644
1.0,17,AfricanAmerican,3821,0.5885893745092907
1.0,17,Asian,115,0.6521739130434783
1.0,17,Caucasian,14970,0.5959919839679358
1.0,17,Hispanic,410,0.6365853658536585
1.0,17,Other,295,0.6271186440677966
1.0,18,AfricanAmerican,3821,0.5951321643548809
1.0,18,Asian,115,0.6086956521739131
1.0,18,Caucasian,14970,0.5957915831663326
1.0,18,Hispanic,410,0.6170731707317073
1.0,18,Other,295,0.6305084745762712
1.0,19,AfricanAmerican,3821,0.6006281078251766
1.0,19,Asian,115,0.6695652173913044
1.0,19,Caucasian,14970,0.5847695390781563
1.0,19,Hispanic,410,0.5804878048780487
1.0,19,Other,295,0.6406779661016949
10.0,0,AfricanAmerican,3821,0.6181627846113583
10.0,0,Asian,115,0.6086956521739131
10.0,0,Caucasian,14970,0.6143620574482298
10.0,0,Hispanic,410,0.6658536585365854
10.0,0,Other,295,0.6474576271186441
10.0,1,AfricanAmerican,3821,0.6189479193928291
10.0,1,Asian,115,0.6260869565217392
10.0,1,Caucasian,14970,0.6162324649298597
10.0,1,Hispanic,410,0.6609756097560976
10.0,1,Other,295,0.6644067796610169
10.0,2,AfricanAmerican,3821,0.6215650353310652
10.0,2,Asian,115,0.6173913043478261
10.0,2,Caucasian,14970,0.6148964595858384
10.0,2,Hispanic,410,0.6585365853658537
10.0,2,Other,295,0.6406779661016949
10.0,3,AfricanAmerican,3821,0.6197330541742999
10.0,3,Asian,115,0.6260869565217392
10.0,3,Caucasian,14970,0.6178356713426854
10.0,3,Hispanic,410,0.6536585365853659
10.0,3,Other,295,0.6508474576271186
10.0,4,AfricanAmerican,3821,0.6165925150484166
10.0,4,Asian,115,0.6086956521739131
10.0,4,Caucasian,14970,0.6153640614562458
10.0,4,Hispanic,410,0.6634146341463415
10.0,4,Other,295,0.6406779661016949
10.0,5,AfricanAmerican,3821,0.6231353048940068
10.0,5,Asian,115,0.6
10.0,5,Caucasian,14970,0.6147628590514362
10.0,5,Hispanic,410,0.6560975609756098
10.0,5,Other,295,0.6440677966101694
10.0,6,AfricanAmerican,3821,0.6189479193928291
10.0,6,Asian,115,0.6086956521739131
10.0,6,Caucasian,14970,0.6160988643954576
10.0,6,Hispanic,410,0.6585365853658537
10.0,6,Other,295,0.6610169491525424
10.0,7,AfricanAmerican,3821,0.6171159382360638
10.0,7,Asian,115,0.6
10.0,7,Caucasian,14970,0.6133600534402137
10.0,7,Hispanic,410,0.6585365853658537
10.0,7,Other,295,0.6542372881355932
10.0,8,AfricanAmerican,3821,0.6186862077990055
10.0,8,Asian,115,0.6260869565217392
10.0,8,Caucasian,14970,0.6154976619906479
10.0,8,Hispanic,410,0.6585365853658537
10.0,8,Other,295,0.6440677966101694
10.0,9,AfricanAmerican,3821,0.6226118817063596
10.0,9,Asian,115,0.6086956521739131
10.0,9,Caucasian,14970,0.6130928523714095
10.0,9,Hispanic,410,0.6682926829268293
10.0,9,Other,295,0.6440677966101694
10.0,10,AfricanAmerican,3821,0.6160690918607694
10.0,10,Asian,115,0.6086956521739131
10.0,10,Caucasian,14970,0.6148296593186373
10.0,10,Hispanic,410,0.6634146341463415
10.0,10,Other,295,0.6474576271186441
10.0,11,AfricanAmerican,3821,0.6205181889557707
10.0,11,Asian,115,0.6
10.0,11,Caucasian,14970,0.6119572478289913
10.0,11,Hispanic,410,0.651219512195122
10.0,11,Other,295,0.6677966101694915
10.0,12,AfricanAmerican,3821,0.6199947657681235
10.0,12,Asian,115,0.6086956521739131
10.0,12,Caucasian,14970,0.6147628590514362
10.0,12,Hispanic,410,0.6560975609756098
10.0,12,Other,295,0.6644067796610169
10.0,13,AfricanAmerican,3821,0.6176393614237111
10.0,13,Asian,115,0.6
10.0,13,Caucasian,14970,0.6169672678690715
10.0,13,Hispanic,410,0.6585365853658537
10.0,13,Other,295,0.6644067796610169
10.0,14,AfricanAmerican,3821,0.6260141324260665
10.0,14,Asian,115,0.6260869565217392
10.0,14,Caucasian,14970,0.6153640614562458
10.0,14,Hispanic,410,0.6536585365853659
10.0,14,Other,295,0.6474576271186441
10.0,15,AfricanAmerican,3821,0.6192096309866527
10.0,15,Asian,115,0.6347826086956522
10.0,15,Caucasian,14970,0.6130928523714095
10.0,15,Hispanic,410,0.6609756097560976
10.0,15,Other,295,0.6508474576271186
10.0,16,AfricanAmerican,3821,0.6158073802669458
10.0,16,Asian,115,0.6
10.0,16,Caucasian,14970,0.6179692718770875
10.0,16,Hispanic,410,0.6487804878048781
10.0,16,Other,295,0.6576271186440678
10.0,17,AfricanAmerican,3821,0.616330803454593
10.0,17,Asian,115,0.6260869565217392
10.0,17,Caucasian,14970,0.6170340681362726
10.0,17,Hispanic,410,0.6585365853658537
10.0,17,Other,295,0.6677966101694915
10.0,18,AfricanAmerican,3821,0.6186862077990055
10.0,18,Asian,115,0.6086956521739131
10.0,18,Caucasian,14970,0.6181696726786907
10.0,18,Hispanic,410,0.6585365853658537
10.0,18,Other,295,0.6542372881355932
10.0,19,AfricanAmerican,3821,0.6210416121434179
10.0,19,Asian,115,0.6173913043478261
10.0,19,Caucasian,14970,0.6150300601202405
10.0,19,Hispanic,410,0.651219512195122
10.0,19,Other,295,0.6406779661016949
5.0,0,AfricanAmerican,3821,0.6158073802669458
5.0,0,Asian,115,0.6521739130434783
5.0,0,Caucasian,14970,0.6022044088176353
5.0,0,Hispanic,410,0.6658536585365854
5.0,0,Other,295,0.6271186440677966
5.0,1,AfricanAmerican,3821,0.6087411672337084
5.0,1,Asian,115,0.6086956521739131
5.0,1,Caucasian,14970,0.6080160320641282
5.0,1,Hispanic,410,0.675609756097561
5.0,1,Other,295,0.6169491525423729
5.0,2,AfricanAmerican,3821,0.6032452237634127
5.0,2,Asian,115,0.6086956521739131
5.0,2,Caucasian,14970,0.5987975951903808
5.0,2,Hispanic,410,0.6463414634146342
5.0,2,Other,295,0.6745762711864407
5.0,3,AfricanAmerican,3821,0.6194713425804763
5.0,3,Asian,115,0.6260869565217392
5.0,3,Caucasian,14970,0.6100200400801603
5.0,3,Hispanic,410,0.651219512195122
5.0,3,Other,295,0.6508474576271186
5.0,4,AfricanAmerican,3821,0.6210416121434179
5.0,4,Asian,115,0.6
5.0,4,Caucasian,14970,0.6109552438209753
5.0,4,Hispanic,410,0.6463414634146342
5.0,4,Other,295,0.6542372881355932
5.0,5,AfricanAmerican,3821,0.6066474744831196
5.0,5,Asian,115,0.5826086956521739
5.0,5,Caucasian,14970,0.5955911823647294
5.0,5,Hispanic,410,0.6365853658536585
5.0,5,Other,295,0.6271186440677966
5.0,6,AfricanAmerican,3821,0.6100497252028265
5.0,6,Asian,115,0.6347826086956522
5.0,6,Caucasian,14970,0.5969939879759519
5.0,6,Hispanic,410,0.6390243902439025
5.0,6,Other,295,0.6610169491525424
5.0,7,AfricanAmerican,3821,0.6186862077990055
5.0,7,Asian,115,0.6260869565217392
5.0,7,Caucasian,14970,0.6101536406145625
5.0,7,Hispanic,410,0.6414634146341464
5.0,7,Other,295,0.6474576271186441
5.0,8,AfricanAmerican,3821,0.6129285527348861
5.0,8,Asian,115,0.6173913043478261
5.0,8,Caucasian,14970,0.6074816299265197
5.0,8,Hispanic,410,0.6609756097560976
5.0,8,Other,295,0.6406779661016949
5.0,9,AfricanAmerican,3821,0.615022245485475
5.0,9,Asian,115,0.6086956521739131
5.0,9,Caucasian,14970,0.6030728122912492
5.0,9,Hispanic,410,0.6487804878048781
5.0,9,Other,295,0.6440677966101694
5.0,10,AfricanAmerican,3821,0.6108348599842973
5.0,10,Asian,115,0.6
5.0,10,Caucasian,14970,0.6020708082832331
5.0,10,Hispanic,410,0.6463414634146342
5.0,10,Other,295,0.6542372881355932
5.0,11,AfricanAmerican,3821,0.6129285527348861
5.0,11,Asian,115,0.6086956521739131
5.0,11,Caucasian,14970,0.5981295925183701
5.0,11,Hispanic,410,0.6560975609756098
5.0,11,Other,295,0.6406779661016949
5.0,12,AfricanAmerican,3821,0.6118817063595917
5.0,12,Asian,115,0.6173913043478261
5.0,12,Caucasian,14970,0.6085504342017368
5.0,12,Hispanic,410,0.6634146341463415
5.0,12,Other,295,0.6508474576271186
5.0,13,AfricanAmerican,3821,0.6061240512954724
5.0,13,Asian,115,0.6086956521739131
5.0,13,Caucasian,14970,0.5915831663326653
5.0,13,Hispanic,410,0.6317073170731707
5.0,13,Other,295,0.6474576271186441
5.0,14,AfricanAmerican,3821,0.6069091860769432
5.0,14,Asian,115,0.6260869565217392
5.0,14,Caucasian,14970,0.5958583834335337
5.0,14,Hispanic,410,0.6365853658536585
5.0,14,Other,295,0.6305084745762712
5.0,15,AfricanAmerican,3821,0.6147605338916514
5.0,15,Asian,115,0.6173913043478261
5.0,15,Caucasian,14970,0.6094856379425517
5.0,15,Hispanic,410,0.651219512195122
5.0,15,Other,295,0.6305084745762712
5.0,16,AfricanAmerican,3821,0.6207799005495943
5.0,16,Asian,115,0.6086956521739131
5.0,16,Caucasian,14970,0.6073480293921175
5.0,16,Hispanic,410,0.6536585365853659
5.0,16,Other,295,0.6542372881355932
5.0,17,AfricanAmerican,3821,0.6029835121695891
5.0,17,Asian,115,0.6347826086956522
5.0,17,Caucasian,14970,0.59311957247829
5.0,17,Hispanic,410,0.6341463414634146
5.0,17,Other,295,0.6338983050847458
5.0,18,AfricanAmerican,3821,0.5893745092907616
5.0,18,Asian,115,0.5826086956521739
5.0,18,Caucasian,14970,0.5879759519038076
5.0,18,Hispanic,410,0.6317073170731707
5.0,18,Other,295,0.6372881355932203
5.0,19,AfricanAmerican,3821,0.6071708976707668
5.0,19,Asian,115,0.6521739130434783
5.0,19,Caucasian,14970,0.6062124248496994
5.0,19,Hispanic,410,0.6317073170731707
5.0,19,Other,295,0.6576271186440678
