modelo,epsilon,seed,rep,Accuracy,F1-Score,tecnica
Naive Bayes (Gaussian),0.1,1729,4,0.5228698179593085,0.5184530045008091,k=10 + DP
Naive Bayes (Gaussian),0.1,2718,5,0.5329661924430167,0.5215679861354743,k=10 + DP
Naive Bayes (Gaussian),0.1,3141,6,0.5016062413951354,0.4913463929589369,k=10 + DP
Naive Bayes (Gaussian),0.1,6022,7,0.5338840446688083,0.3717589722909941,k=10 + DP
Naive Bayes (Gaussian),0.1,8128,8,0.5159349344755494,0.5140079532548296,k=10 + DP
Naive Bayes (Gaussian),0.1,9999,9,0.5499464586201621,0.5110743461790519,k=10 + DP
Naive Bayes (Gaussian),0.1,10007,10,0.4984957421855081,0.4845043313964445,k=10 + DP
Naive Bayes (Gaussian),0.1,11113,11,0.5181785732497068,0.5075758464312344,k=10 + DP
Naive Bayes (Gaussian),0.1,13121,12,0.5462750497169956,0.535209415985134,k=10 + DP
Naive Bayes (Gaussian),0.1,17171,13,0.5294987507011372,0.4785659656496904,k=10 + DP
Naive Bayes (Gaussian),0.1,19273,14,0.5104788129111213,0.4933838404265745,k=10 + DP
Naive Bayes (Gaussian),0.1,23131,15,0.4654530620570088,0.3750395765351663,k=10 + DP
Naive Bayes (Gaussian),0.1,29327,16,0.4761103462342563,0.3508321023902388,k=10 + DP
Naive Bayes (Gaussian),0.1,31193,17,0.5503034011524145,0.549530852708581,k=10 + DP
Naive Bayes (Gaussian),0.1,33391,18,0.5337820610881648,0.3715303444576554,k=10 + DP
Naive Bayes (Gaussian),0.1,37397,19,0.4815664677986844,0.3863354746377936,k=10 + DP
Naive Bayes (Gaussian),1.0,42,0,0.5370455356687573,0.5287021189435113,k=10 + DP
Naive Bayes (Gaussian),1.0,137,1,0.5189944418948549,0.5188512695865971,k=10 + DP
Naive Bayes (Gaussian),1.0,271,2,0.5276630462495538,0.5139513685263288,k=10 + DP
Naive Bayes (Gaussian),1.0,314,3,0.5367395849268268,0.5253699581641851,k=10 + DP
Naive Bayes (Gaussian),1.0,1729,4,0.5399520677170976,0.5346896487440372,k=10 + DP
Naive Bayes (Gaussian),1.0,2718,5,0.5543827443781552,0.5531107052001216,k=10 + DP
Naive Bayes (Gaussian),1.0,3141,6,0.4960481362500637,0.4901250040439262,k=10 + DP
Naive Bayes (Gaussian),1.0,6022,7,0.5405129774106369,0.5293460804027749,k=10 + DP
Naive Bayes (Gaussian),1.0,8128,8,0.5459181071847432,0.5387652782074137,k=10 + DP
Naive Bayes (Gaussian),1.0,9999,9,0.5313344551527204,0.5314346727381338,k=10 + DP
Naive Bayes (Gaussian),1.0,10007,10,0.5353118147978175,0.5259991240288088,k=10 + DP
Naive Bayes (Gaussian),1.0,11113,11,0.5165468359594105,0.5116941865044841,k=10 + DP
Naive Bayes (Gaussian),1.0,13121,12,0.5331191678139819,0.5326344305889783,k=10 + DP
Naive Bayes (Gaussian),1.0,17171,13,0.537759420733262,0.5359124806248908,k=10 + DP
Naive Bayes (Gaussian),1.0,19273,14,0.5544847279587987,0.5296893317810362,k=10 + DP
