epsilon,rep,race,n,Accuracy
1.0,9,Asian,115,0.3826086956521739
1.0,9,Caucasian,14970,0.4706746826987308
1.0,9,Hispanic,410,0.4146341463414634
1.0,9,Other,295,0.3932203389830508
10.0,5,AfricanAmerican,3821,0.5344150745878042
10.0,5,Asian,115,0.591304347826087
10.0,5,Caucasian,14970,0.5245156980627923
10.0,5,Hispanic,410,0.5975609756097561
10.0,5,Other,295,0.6
10.0,6,AfricanAmerican,3821,0.5098141847683852
10.0,6,Asian,115,0.5478260869565217
10.0,6,Caucasian,14970,0.5118904475617903
10.0,6,Hispanic,410,0.5292682926829269
10.0,6,Other,295,0.535593220338983
10.0,7,AfricanAmerican,3821,0.49201779638838
10.0,7,Asian,115,0.408695652173913
10.0,7,Caucasian,14970,0.5061456245824983
10.0,7,Hispanic,410,0.4585365853658537
10.0,7,Other,295,0.4847457627118644
10.0,8,AfricanAmerican,3821,0.519235802146035
10.0,8,Asian,115,0.5739130434782609
10.0,8,Caucasian,14970,0.5241816967267869
10.0,8,Hispanic,410,0.5560975609756098
10.0,8,Other,295,0.511864406779661
10.0,9,AfricanAmerican,3821,0.4655849254121957
10.0,9,Asian,115,0.3826086956521739
10.0,9,Caucasian,14970,0.4700066800267201
10.0,9,Hispanic,410,0.4146341463414634
10.0,9,Other,295,0.3932203389830508
0.1,10,AfricanAmerican,3821,0.5401727296519235
0.1,10,Asian,115,0.6260869565217392
0.1,10,Caucasian,14970,0.53500334001336
0.1,10,Hispanic,410,0.4609756097560976
0.1,10,Other,295,0.5016949152542373
0.1,11,AfricanAmerican,3821,0.5244700340225072
0.1,11,Asian,115,0.6173913043478261
0.1,11,Caucasian,14970,0.5186372745490982
0.1,11,Hispanic,410,0.5195121951219512
0.1,11,Other,295,0.4983050847457627
0.1,12,AfricanAmerican,3821,0.5365087673383931
0.1,12,Asian,115,0.6173913043478261
0.1,12,Caucasian,14970,0.5134936539746159
0.1,12,Hispanic,410,0.5073170731707317
0.1,12,Other,295,0.5796610169491525
0.1,13,AfricanAmerican,3821,0.5074587804239727
0.1,13,Asian,115,0.6173913043478261
0.1,13,Caucasian,14970,0.4955243820975284
0.1,13,Hispanic,410,0.4536585365853658
0.1,13,Other,295,0.6101694915254238
0.1,14,AfricanAmerican,3821,0.5451452499345721
0.1,14,Asian,115,0.6086956521739131
0.1,14,Caucasian,14970,0.5206412825651303
0.1,14,Hispanic,410,0.5756097560975609
0.1,14,Other,295,0.6135593220338983
1.0,10,AfricanAmerican,3821,0.533891651400157
1.0,10,Asian,115,0.6173913043478261
1.0,10,Caucasian,14970,0.5289245156980628
1.0,10,Hispanic,410,0.5902439024390244
1.0,10,Other,295,0.6067796610169491
1.0,11,AfricanAmerican,3821,0.474744831196022
1.0,11,Asian,115,0.6173913043478261
1.0,11,Caucasian,14970,0.4739478957915831
1.0,11,Hispanic,410,0.4048780487804878
1.0,11,Other,295,0.4542372881355932
1.0,12,AfricanAmerican,3821,0.5197592253336822
1.0,12,Asian,115,0.6173913043478261
1.0,12,Caucasian,14970,0.5134268537074148
1.0,12,Hispanic,410,0.5463414634146342
1.0,12,Other,295,0.5525423728813559
1.0,13,AfricanAmerican,3821,0.5058885108610311
1.0,13,Asian,115,0.6173913043478261
1.0,13,Caucasian,14970,0.5169004676018704
1.0,13,Hispanic,410,0.4829268292682926
1.0,13,Other,295,0.5254237288135594
1.0,14,AfricanAmerican,3821,0.4880921224810259
1.0,14,Asian,115,0.4347826086956521
1.0,14,Caucasian,14970,0.484502338009352
1.0,14,Hispanic,410,0.4170731707317073
1.0,14,Other,295,0.5152542372881356
10.0,10,AfricanAmerican,3821,0.533891651400157
10.0,10,Asian,115,0.6173913043478261
10.0,10,Caucasian,14970,0.5290581162324649
10.0,10,Hispanic,410,0.5878048780487805
10.0,10,Other,295,0.6067796610169491
10.0,11,AfricanAmerican,3821,0.4742214080083747
10.0,11,Asian,115,0.4695652173913043
10.0,11,Caucasian,14970,0.4729458917835671
10.0,11,Hispanic,410,0.4
10.0,11,Other,295,0.4508474576271186
10.0,12,AfricanAmerican,3821,0.519235802146035
10.0,12,Asian,115,0.6
10.0,12,Caucasian,14970,0.5126920507682031
10.0,12,Hispanic,410,0.5341463414634147
10.0,12,Other,295,0.559322033898305
10.0,13,AfricanAmerican,3821,0.505365087673384
10.0,13,Asian,115,0.6173913043478261
10.0,13,Caucasian,14970,0.5181028724114897
10.0,13,Hispanic,410,0.4926829268292683
10.0,13,Other,295,0.511864406779661
10.0,14,AfricanAmerican,3821,0.4875686992933787
10.0,14,Asian,115,0.4434782608695652
10.0,14,Caucasian,14970,0.4847695390781563
10.0,14,Hispanic,410,0.4195121951219512
10.0,14,Other,295,0.5084745762711864
0.1,15,AfricanAmerican,3821,0.5383407484951583
0.1,15,Asian,115,0.6521739130434783
0.1,15,Caucasian,14970,0.5169004676018704
0.1,15,Hispanic,410,0.551219512195122
0.1,15,Other,295,0.6
0.1,16,AfricanAmerican,3821,0.5503794818110442
0.1,16,Asian,115,0.4260869565217391
0.1,16,Caucasian,14970,0.5304609218436874
0.1,16,Hispanic,410,0.5585365853658537
0.1,16,Other,295,0.5627118644067797
0.1,17,AfricanAmerican,3821,0.5315362470557445
0.1,17,Asian,115,0.6173913043478261
0.1,17,Caucasian,14970,0.5382097528390114
0.1,17,Hispanic,410,0.5634146341463414
0.1,17,Other,295,0.5898305084745763
0.1,18,AfricanAmerican,3821,0.500654278984559
0.1,18,Asian,115,0.3826086956521739
0.1,18,Caucasian,14970,0.518370073480294
0.1,18,Hispanic,410,0.5975609756097561
0.1,18,Other,295,0.5898305084745763
0.1,19,AfricanAmerican,3821,0.5163569746139755
0.1,19,Asian,115,0.391304347826087
0.1,19,Caucasian,14970,0.5099532398129593
0.1,19,Hispanic,410,0.5024390243902439
0.1,19,Other,295,0.5525423728813559
1.0,15,AfricanAmerican,3821,0.503271394922795
1.0,15,Asian,115,0.5565217391304348
1.0,15,Caucasian,14970,0.5042084168336673
1.0,15,Hispanic,410,0.4585365853658537
1.0,15,Other,295,0.4847457627118644
1.0,16,AfricanAmerican,3821,0.5354619209630986
1.0,16,Asian,115,0.6173913043478261
1.0,16,Caucasian,14970,0.529124916499666
1.0,16,Hispanic,410,0.5878048780487805
1.0,16,Other,295,0.6067796610169491
1.0,17,AfricanAmerican,3821,0.5058885108610311
1.0,17,Asian,115,0.6173913043478261
1.0,17,Caucasian,14970,0.5201736806947228
1.0,17,Hispanic,410,0.5073170731707317
1.0,17,Other,295,0.5389830508474577
1.0,18,AfricanAmerican,3821,0.5176655325830934
1.0,18,Asian,115,0.5478260869565217
1.0,18,Caucasian,14970,0.5179024716098865
1.0,18,Hispanic,410,0.5609756097560976
1.0,18,Other,295,0.5322033898305085
1.0,19,AfricanAmerican,3821,0.4831196021983774
1.0,19,Asian,115,0.4347826086956521
1.0,19,Caucasian,14970,0.4929859719438877
1.0,19,Hispanic,410,0.4512195121951219
1.0,19,Other,295,0.4644067796610169
10.0,15,AfricanAmerican,3821,0.5037948181104422
10.0,15,Asian,115,0.5739130434782609
10.0,15,Caucasian,14970,0.5020708082832331
10.0,15,Hispanic,410,0.4634146341463415
10.0,15,Other,295,0.4847457627118644
10.0,16,AfricanAmerican,3821,0.5346767861816278
10.0,16,Asian,115,0.6173913043478261
10.0,16,Caucasian,14970,0.5303273213092853
10.0,16,Hispanic,410,0.5878048780487805
10.0,16,Other,295,0.6067796610169491
10.0,17,AfricanAmerican,3821,0.5087673383930909
10.0,17,Asian,115,0.5826086956521739
10.0,17,Caucasian,14970,0.520307281229125
10.0,17,Hispanic,410,0.5048780487804878
10.0,17,Other,295,0.535593220338983
10.0,18,AfricanAmerican,3821,0.5163569746139755
10.0,18,Asian,115,0.5478260869565217
10.0,18,Caucasian,14970,0.5162324649298597
10.0,18,Hispanic,410,0.5609756097560976
10.0,18,Other,295,0.5288135593220339
10.0,19,AfricanAmerican,3821,0.4778853703219052
10.0,19,Asian,115,0.4260869565217391
10.0,19,Caucasian,14970,0.4896459585838343
10.0,19,Hispanic,410,0.448780487804878
10.0,19,Other,295,0.447457627118644
